year,half,school_kind,estb,school_division,region,status,school_rep_code,school_rep_name,campus_count,student_quota,recruitment_suspension,enrolled_total,enrolled_within,enrolled_outside,fill_rate,fill_rate_within,consolidated_at
2020,상반기,대학교,사립,대학,광주,기존,0000187,송원대학교,1,3120,0,2980,2725,255,95.51,87.34,2026-08-07T09:07:29.731Z
2020,상반기,대학교,국립,대학,광주,기존,0000016,전남대학교,2,16276,0,19085,17093,1992,117.26,105.02,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,광주,기존,0000366,조선간호대학교,1,556,0,771,559,212,138.67,100.54,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,광주,기존,0000127,조선대학교,1,18152,0,19469,17720,1749,107.26,97.62,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,광주,기존,0000365,조선이공대학교,1,2984,0,3355,2844,511,112.43,95.31,2026-08-07T09:07:29.731Z
2020,상반기,기능대학,사립,전문대학,광주,기존,0000489,한국폴리텍 V 대학,1,710,0,847,704,143,119.3,99.15,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,광주,기존,0000157,호남대학교,1,6248,0,7074,6157,917,113.22,98.54,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,광주,기존,0000158,호남신학대학교,1,584,0,526,523,3,90.07,89.55,2026-08-07T09:07:29.731Z
2020,상반기,대학교,국립,대학,대구,기존,0000003,경북대학교,1,19070,0,22303,20176,2127,116.95,105.8,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,대구,기존,0000048,계명대학교,1,18722,0,20692,18856,1836,110.52,100.72,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,대구,기존,0000263,계명문화대학교,1,4703,0,5008,4283,725,106.49,91.07,2026-08-07T09:07:29.731Z
2020,상반기,대학교,특별법법인,대학,대구,기존,0000470,대구경북과학기술원,1,880,0,769,764,5,87.39,86.82,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,대구,기존,0000280,대구공업대학교,1,1751,0,1661,1501,160,94.86,85.72,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,대구,기존,0000283,대구과학대학교,1,3879,0,4093,3530,563,105.52,91,2026-08-07T09:07:29.731Z
2020,상반기,교육대학,국립,대학,대구,기존,0000197,대구교육대학교,1,1532,0,1620,1501,119,105.74,97.98,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,대구,기존,0000281,대구보건대학교,1,6186,0,6959,5709,1250,112.5,92.29,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,대구,기존,0000282,수성대학교,1,3310,0,3484,2930,554,105.26,88.52,2026-08-07T09:07:29.731Z
