year,school_kind,estb,region,status,school_code_std,school_name,total_enrolled,special_city_count,special_city_ratio,small_city_etc_count,small_city_etc_ratio,metro_count,metro_ratio,wide_city_count,wide_city_ratio,small_city_count,small_city_ratio,town_special_other_count,town_special_other_ratio,uploaded_at
2026,대학교,사립,부산,기존,0000114,부산가톨릭대학교,769,330,42.9,439,57.1,17,2.21,313,40.7,268,34.85,171,22.24,2026-08-05T22:04:39.152Z
2026,교육대학,국립,부산,기존,0000254,부산교육대학교,339,174,51.3,165,48.7,19,5.6,155,45.72,105,30.97,60,17.69,2026-08-05T22:04:39.152Z
2026,대학교,국립,부산,기존,0000014,부산대학교,5128,2860,55.8,2268,44.2,134,2.61,2726,53.16,1371,26.74,897,17.49,2026-08-05T22:04:39.152Z
2026,사이버대학(대학),사립,부산,기존,0000321,부산디지털대학교,316,202,63.9,114,36.1,12,3.8,190,60.13,82,25.95,32,10.13,2026-08-05T22:04:39.152Z
2026,대학교,사립,부산,기존,0000115,부산외국어대학교,1703,821,48.2,882,51.8,120,7.05,701,41.16,513,30.12,369,21.67,2026-08-05T22:04:39.152Z
2026,대학교,사립,경남,기존,0000222,부산장신대학교,33,20,60.6,13,39.4,1,3.03,19,57.58,9,27.27,4,12.12,2026-08-05T22:04:39.152Z
2026,사이버대학(대학),사립,서울,기존,0000332,사이버한국외국어대학교,823,347,42.2,476,57.8,185,22.48,162,19.68,235,28.55,241,29.29,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000116,삼육대학교,1424,608,42.7,816,57.3,503,35.32,105,7.37,461,32.37,355,24.93,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000117,상명대학교,1501,682,45.4,819,54.6,577,38.44,105,7,599,39.91,220,14.66,2026-08-05T22:04:39.152Z
2026,대학교,사립,충남,기존,0002959,상명대학교_제2캠퍼스,1475,505,34.2,970,65.8,299,20.27,206,13.97,758,51.39,212,14.37,2026-08-05T22:04:39.152Z
2026,대학교,사립,강원,기존,0000119,상지대학교,1715,408,23.8,1307,76.2,319,18.6,89,5.19,856,49.91,451,26.3,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000120,서강대학교,2128,832,39.1,1296,60.9,501,23.54,331,15.55,657,30.87,639,30.03,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000121,서경대학교,1745,695,39.8,1050,60.2,505,28.94,190,10.89,714,40.92,336,19.25,2026-08-05T22:04:39.152Z
2026,대학교,국립,서울,기존,0000036,서울과학기술대학교,2773,1082,39,1691,61,641,23.12,441,15.9,1142,41.18,549,19.8,2026-08-05T22:04:39.152Z
2026,교육대학,국립,서울,기존,0000255,서울교육대학교,349,153,43.8,196,56.2,89,25.5,64,18.34,163,46.7,33,9.46,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000098,서울기독대학교,369,86,23.3,283,76.7,68,18.43,18,4.88,46,12.47,237,64.23,2026-08-05T22:04:39.152Z
2026,대학교,국립대법인,서울,기존,0000019,서울대학교,3811,2024,53.1,1787,46.9,1359,35.66,665,17.45,1204,31.59,583,15.3,2026-08-05T22:04:39.152Z
2026,사이버대학(대학),사립,서울,기존,0000322,서울디지털대학교,1037,518,50,519,50,260,25.07,258,24.88,370,35.68,149,14.37,2026-08-05T22:04:39.152Z
2026,사이버대학(대학),사립,서울,기존,0000323,서울사이버대학교,2578,1134,44,1444,56,587,22.77,547,21.22,987,38.29,457,17.73,2026-08-05T22:04:39.152Z
2026,대학교,공립,서울,기존,0000040,서울시립대학교,1956,847,43.3,1109,56.7,460,23.52,387,19.79,854,43.66,255,13.03,2026-08-05T22:04:39.152Z
2026,대학교,사립,경기,기존,0000125,서울신학대학교,686,281,41,405,59,110,16.03,171,24.93,199,29.01,206,30.03,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000126,서울여자대학교,1937,810,41.8,1127,58.2,639,32.99,171,8.83,659,34.02,468,24.16,2026-08-05T22:04:39.152Z
2026,대학교,사립,경기,기존,0000127,서울장신대학교,418,30,7.2,388,92.8,21,5.02,9,2.15,47,11.24,341,81.58,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000205,서울한영대학교,387,127,32.8,260,67.2,96,24.81,31,8.01,60,15.5,200,51.69,2026-08-05T22:04:39.152Z
2026,대학교,사립,충북,기존,0000128,서원대학교,2068,227,11,1841,89,73,3.53,154,7.45,1248,60.35,593,28.68,2026-08-05T22:04:39.152Z
