year,school_code_std,school_name,school_division,school_kind,region,estb,school_funds_carryover,school_funds_endowment,industry_carryover,industry_endowment,total_funds,tuition_revenue,fund_secure_rate,uploaded_at
2020,0002668,제네바신학대학원대학교,대학원대학,전문대학원,경기,사립,5927,,,,5927,45500,13,2026-08-01T02:42:38.332Z
2020,0000680,주안대학원대학교,대학원대학,전문대학원,인천,사립,147121,22516,,,169636,415648,40.8,2026-08-01T02:42:38.332Z
2020,0002817,치유상담대학원대학교,대학원대학,전문대학원,서울,사립,-143852,110000,,,-33852,1293420,-2.6,2026-08-01T02:42:38.332Z
2020,0000679,한국상담대학원대학교,대학원대학,전문대학원,서울,사립,58834,1667471,,,1726305,1162871,148.5,2026-08-01T02:42:38.332Z
2020,0000681,한국전력국제원자력대학원대학교,대학원대학,전문대학원,울산,사립,1163454,,897111,,2060564,4168438,49.4,2026-08-01T02:42:38.332Z
2020,0000673,한림국제대학원대학교,대학원대학,특수대학원,서울,사립,646662,395297,53677,19799,1115436,2441714,45.7,2026-08-01T02:42:38.332Z
2020,0000676,한반도국제대학원대학교,대학원대학,특수대학원,서울,사립,91912,122102,,,214014,247200,86.6,2026-08-01T02:42:38.332Z
2020,0000647,합동신학대학원대학교,대학원대학,전문대학원,경기,사립,55774,4312536,,,4368310,2064285,211.6,2026-08-01T02:42:38.332Z
2020,0000648,횃불트리니티신학대학원대학교,대학원대학,전문대학원,서울,사립,278531,1402431,,,1680962,2847591,59,2026-08-01T02:42:38.332Z
2020,0000410,가톨릭상지대학교,전문대학,전문대학,경북,사립,526295,5620147,597789,,6744231,10294551,65.5,2026-08-01T02:42:38.332Z
2020,0000433,강동대학교,전문대학,전문대학,충북,사립,447861,1126417,168730,,1743009,18757157,9.3,2026-08-01T02:42:38.332Z
2020,0000514,강릉영동대학교,전문대학,전문대학,강원,사립,-1968136,35618,97495,,-1835023,15238042,-12,2026-08-01T02:42:38.332Z
