year,school_kind,estb,school_division,region,status,school_code_std,school_name,admission_quota,recruit_total,recruit_within,recruit_outside,enrolled_total,enrolled_within,enrolled_outside,fill_rate_within,fill_rate_within_outside,uploaded_at
2025,대학교,사립,,강원,기존,0000150,연세대학교(미래)_분교,1416,1599,1416,183,1575,1415,160,99.93,98.5,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000149,연세대학교,3555,4476,3569,907,4541,3622,919,101.49,101.45,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경북,기존,0000151,영남대학교,4661,5107,4646,461,5030,4645,385,99.98,98.49,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경북,기존,0000153,영남신학대학교,115,116,115,1,116,115,1,100,100,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경남,기존,0003194,영산대학교(양산)_제2캠퍼스,669,1143,669,474,720,667,53,99.7,62.99,2026-08-07T07:48:15.697Z
2025,대학교,사립,,부산,기존,0003193,영산대학교(해운대),625,764,625,139,724,624,100,99.84,94.76,2026-08-07T07:48:15.697Z
2025,대학교,사립,,전남,기존,0000155,영산선학대학교,50,52,50,2,3,3,0,6,5.77,2026-08-07T07:48:15.697Z
2025,대학교,사립,,전북,기존,0000228,예수대학교,115,123,115,8,121,115,6,100,98.37,2026-08-07T07:48:15.697Z
2025,대학교,사립,,전북,기존,0000218,예원예술대학교,46,70,46,24,69,45,24,97.83,98.57,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0000219,예원예술대학교_제2캠퍼스,185,202,190,12,199,187,12,98.42,98.51,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0000156,용인대학교,1262,1373,1262,111,1345,1261,84,99.92,97.96,2026-08-07T07:48:15.697Z
2025,대학교,사립,,전북,기존,0000157,우석대학교,1487,1682,1487,195,1667,1487,180,100,99.11,2026-08-07T07:48:15.697Z
2025,대학교,사립,,대전,기존,0000240,우송대학교,1993,2385,1994,391,2270,1994,276,100,95.18,2026-08-07T07:48:15.697Z
2025,대학교,특별법법인,,울산,기존,0000250,울산과학기술원,400,480,400,80,497,417,80,104.25,103.54,2026-08-07T07:48:15.697Z
2025,대학교,사립,,울산,기존,0000158,울산대학교,2737,2782,2579,203,2714,2565,149,99.46,97.56,2026-08-07T07:48:15.697Z
2025,대학교,사립,,전북,기존,0000159,원광대학교,2869,3029,2869,160,3027,2864,163,99.83,99.93,2026-08-07T07:48:15.697Z
2025,사이버대학(대학),사립,,전북,기존,0000327,원광디지털대학교,1500,3982,1500,2482,1097,796,301,53.07,27.55,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경북,기존,0000160,위덕대학교,627,588,556,32,548,545,3,98.02,93.2,2026-08-07T07:48:15.697Z
2025,대학교,사립,,충북,기존,0000154,유원대학교,875,1110,875,235,1076,873,203,99.77,96.94,2026-08-07T07:48:15.697Z
2025,대학교,사립,,대전,기존,0000161,을지대학교,100,108,100,8,108,100,8,100,100,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0000162,을지대학교_제2캠퍼스,787,841,787,54,830,787,43,100,98.69,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0002911,을지대학교_제3캠퍼스,192,207,192,15,203,192,11,100,98.07,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000163,이화여자대학교,3260,3841,3270,571,3818,3253,565,99.48,99.4,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경남,기존,0000164,인제대학교,1699,1814,1618,196,1747,1597,150,98.7,96.31,2026-08-07T07:48:15.697Z
2025,대학교,사립,,인천,기존,0000168,인천가톨릭대학교,12,12,12,0,11,11,0,91.67,91.67,2026-08-07T07:48:15.697Z
2025,대학교,사립,,인천,기존,0000167,인천가톨릭대학교_제2캠퍼스,153,172,153,19,163,153,10,100,94.77,2026-08-07T07:48:15.697Z
2025,대학교,국립대법인,,인천,기존,0002660,인천대학교,2516,2826,2520,306,2748,2519,229,99.96,97.24,2026-08-07T07:48:15.697Z
2025,대학교,사립,,인천,기존,0000169,인하대학교,3605,4171,3607,564,4161,3603,558,99.89,99.76,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000170,장로회신학대학교,150,177,151,26,159,151,8,100,89.83,2026-08-07T07:48:15.697Z
2025,대학교,국립,,광주,기존,0000023,전남대학교,3673,3926,3640,286,3878,3635,243,99.86,98.78,2026-08-07T07:48:15.697Z
2025,대학교,국립,,전남,기존,0000024,전남대학교_제2캠퍼스,812,1007,813,194,896,811,85,99.75,88.98,2026-08-07T07:48:15.697Z
2025,대학교,국립,,전북,기존,0000025,전북대학교,4077,4633,4054,579,4424,4050,374,99.9,95.49,2026-08-07T07:48:15.697Z
2025,교육대학,국립,,전북,기존,0000258,전주교육대학교,285,276,253,23,272,253,19,100,98.55,2026-08-07T07:48:15.697Z
2025,대학교,사립,,전북,기존,0000171,전주대학교,2512,2883,2512,371,2631,2501,130,99.56,91.26,2026-08-07T07:48:15.697Z
2025,기술대학,사립,,서울,기존,0000288,정석대학,100,100,100,0,11,11,0,11,11,2026-08-07T07:48:15.697Z
2025,대학교,사립,,제주,기존,0000248,제주국제대학교,370,455,370,85,40,10,30,2.7,8.79,2026-08-07T07:48:15.697Z
2025,대학교,국립,,제주,기존,0000027,제주대학교,2235,2528,2183,345,2374,2181,193,99.91,93.91,2026-08-07T07:48:15.697Z
2025,대학교,사립,,광주,기존,0000172,조선대학교,4354,4760,4360,400,4643,4355,288,99.89,97.54,2026-08-07T07:48:15.697Z
