year,half,school_kind,estb,school_division,region,status,school_code_std,school_name,student_quota,recruitment_suspension,enrolled_total,enrolled_within,enrolled_outside,fill_rate,fill_rate_within,uploaded_at
2024,하반기,대학교,사립,,경북,기존,0000087,대구예술대학교,1347,17,247,243,4,18.6,18.3,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경북,기존,0000087,대구예술대학교,1260,17,250,153,97,20.1,12.3,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,경북,기존,0000061,대구한의대학교,6196,0,6376,4972,1404,102.9,80.2,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경북,기존,0000061,대구한의대학교,6078,0,6961,5225,1736,114.5,86,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,경북,기존,0000093,대신대학교,464,0,603,390,213,130,84.1,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경북,기존,0000093,대신대학교,498,0,1335,483,852,268.1,97,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,세종,기존,0000094,대전가톨릭대학교,160,0,32,32,0,20,20,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,세종,기존,0000094,대전가톨릭대학교,160,0,35,34,1,21.9,21.3,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,대전,기존,0000095,대전대학교,7819,0,7212,6586,626,92.2,84.2,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,대전,기존,0000095,대전대학교,7592,0,7823,7061,762,103,93,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,대전,기존,0000238,대전신학대학교,128,0,52,52,0,40.6,40.6,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,대전,기존,0000238,대전신학대학교,128,0,48,48,0,37.5,37.5,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,경기,기존,0000097,대진대학교,6992,0,7226,5935,1291,103.3,84.9,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경기,기존,0000097,대진대학교,6936,0,7751,6247,1504,111.8,90.1,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,서울,기존,0000099,덕성여자대학교,4535,0,5013,4415,598,110.5,97.4,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,서울,기존,0000099,덕성여자대학교,4630,0,5566,4898,668,120.2,105.8,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,경북,기존,0000101,동국대학교(WISE)_분교,7236,0,6058,5431,627,83.7,75.1,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경북,기존,0000101,동국대학교(WISE)_분교,7296,0,6898,6139,759,94.5,84.1,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,서울,기존,0000100,동국대학교,11124,0,12397,9877,2520,111.4,88.8,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,서울,기존,0000100,동국대학교,11215,0,13841,11112,2729,123.4,99.1,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,서울,기존,0000102,동덕여자대학교,6278,0,6564,5713,851,104.6,91,2026-08-07T09:07:29.509Z
