year,school_kind,estb,school_division,region,status,school_code_std,school_name,enrolled_students,enrolled_dropouts,enrolled_dropout_rate,freshman_students,freshman_dropouts,freshman_dropout_rate,uploaded_at
2022,기술대학,사립,대학,서울,기존,0000288,정석대학,46,2,4.35,17,0,0,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,제주,기존,0000248,제주국제대학교,796,174,21.86,61,20,32.79,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,제주,기존,0000027,제주대학교,13492,732,5.43,2345,154,6.57,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,광주,기존,0000172,조선대학교,25907,1308,5.05,4652,262,5.63,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,충남,기존,0000173,중부대학교,11247,954,8.48,1816,157,8.65,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000175,중앙대학교,25243,874,3.46,4066,425,10.45,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000174,중앙대학교_제2캠퍼스,6998,302,4.32,1299,91,7.01,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000177,중앙승가대학교,108,16,14.81,19,6,31.58,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,충북,기존,0000239,중원대학교,4819,663,13.76,770,135,17.53,2026-08-07T10:05:19.852Z
2022,교육대학,국립,대학,경남,기존,0000260,진주교육대학교,1332,25,1.88,338,19,5.62,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000187,차의과학대학교,2658,155,5.83,539,68,12.62,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경남,기존,0000249,창신대학교,2170,216,9.95,343,26,7.58,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,경남,기존,0000028,국립창원대학교,10637,564,5.3,1867,126,6.75,2026-08-07T10:05:19.852Z
2022,산업대학,사립,대학,충남,기존,0000284,청운대학교,7614,678,8.9,1288,142,11.02,2026-08-07T10:05:19.852Z
2022,교육대학,국립,대학,충북,기존,0000261,청주교육대학교,1206,44,3.65,309,30,9.71,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,충북,기존,0000179,청주대학교,15767,767,4.86,2784,178,6.39,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,전남,기존,0000246,초당대학교,3931,667,16.97,824,232,28.16,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000180,총신대학교,1824,63,3.45,333,16,4.8,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000181,추계예술대학교,1401,77,5.5,272,27,9.93,2026-08-07T10:05:19.852Z
2022,교육대학,국립,대학,강원,기존,0000262,춘천교육대학교,1330,52,3.91,337,33,9.79,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,대전,기존,0000029,충남대학교,22413,937,4.18,3859,353,9.15,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,충북,기존,0000030,충북대학교,17687,721,4.08,3038,227,7.47,2026-08-07T10:05:19.852Z
