year,school_kind,estb,school_division,region,status,school_rep_code,school_rep_name,campus_count,enrolled_students,enrolled_dropouts,enrolled_dropout_rate,freshman_students,freshman_dropouts,freshman_dropout_rate,consolidated_at
2019,대학교,사립,대학,부산,기존,0000043,경성대학교,1,16969,1026,6.05,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,부산,기존,0000050,고신대학교,1,4826,313,6.49,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,부산,기존,0000284,대동대학교,1,1818,114,6.27,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,부산,기존,0000180,동명대학교,1,11869,868,7.31,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,부산,폐교,0000296,동부산대학교,1,1916,396,20.67,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,부산,기존,0000073,동서대학교,1,14733,905,6.14,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,부산,기존,0000075,동아대학교,1,26185,1086,4.15,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,부산,기존,0000303,동의과학대학교,1,9582,1034,10.79,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,부산,기존,0000077,동의대학교,1,21406,1040,4.86,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,부산,기존,0000569,동주대학교,1,4426,368,8.31,0,0,0,2026-08-07T10:05:19.980Z
