year,cohort,school_rep_code,school_rep_name,region,estb,school_division,tuition_revenue,edu_operating_revenue,industry_operating_revenue,total_operating_revenue,tuition_dependency_rate,campus_count,has_alimi,updated_at
2020,junior-college,0000264,계원예술대학교,경기,사립,전문대학,21632315.48,30429092.6,1542217.668,31971310.268000003,67.7,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000379,국제대학교,경기,사립,전문대학,23349828.5,35709746.94,1126085.942,36835832.882,63.4,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000277,김포대학교,경기,사립,전문대학,19329800.44,29090415.14,1632885.203,30723300.343000002,62.9,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000278,농협대학교,경기,사립,전문대학,2223629.99,8615001.733,4373777.486,12988779.218999999,17.1,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000285,대림대학교,경기,사립,전문대학,46935108.94,70503157.16,14462896.88,84966054.03999999,55.2,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000294,동남보건대학교,경기,사립,전문대학,30398537.02,42485049.75,7967914.883,50452964.633,60.3,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000287,동서울대학교,경기,사립,전문대학,39730554.89,55648907.14,10798720.09,66447627.230000004,59.8,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000298,동아방송예술대학교,경기,사립,전문대학,22497397.95,33500641.5,6136618.901,39637260.401,56.8,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000302,동원대학교,경기,사립,전문대학,21072863.59,32735925.37,5224048.12,37959973.49,55.5,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000305,두원공과대학교,경기,사립,전문대학,25521817.76,39926202.9,5489806.041,45416008.941,56.2,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000316,부천대학교,경기,사립,전문대학,48406532.45,78578247.66,14287230.84,92865478.5,52.1,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000323,서울예술대학교,경기,사립,전문대학,25481841.53,35951495.07,515164.237,36466659.307000004,69.9,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000392,서정대학교,경기,사립,전문대학,34146550.37,56211753.07,4277477.854,60489230.924,56.5,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000330,수원과학대학교,경기,사립,전문대학,30060950.62,43432659.88,7797590.442,51230250.322000004,58.7,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000329,수원여자대학교,경기,사립,전문대학,28205285.13,45192017.82,1701679.298,46893697.118,60.1,1,Y,2026-08-15T06:33:03.497Z
2020,junior-college,0000334,신구대학교,경기,사립,전문대학,43548144.41,62903643.36,9029826.67,71933470.03,60.5,1,Y,2026-08-15T06:33:03.497Z
